Go-Homo_sapiens_Gene_Ontologies_ENSG00000111737.csv
"Accession","Term","Evidence","Annotation source","Transcript IDs",""
"GO:0000281","mitotic cytokinesis","IMP","UniProt","ENST00000229340 ENST00000534951","Search BioMartView on karyotype"
"GO:0006886","intracellular protein transport","IBA","GO_Central","ENST00000534951 ENST00000229340","Search BioMartView on karyotype"
"GO:0008104","protein localization","IMP","UniProt","ENST00000229340 ENST00000534951","Search BioMartView on karyotype"
"GO:0015031","protein transport","IEA","UniProt","ENST00000534951 ENST00000229340","Search BioMartView on karyotype"
"GO:0016197","endosomal transport","IMP","UniProt","ENST00000534951 ENST00000229340","Search BioMartView on karyotype"
"GO:0019882","antigen processing and presentation","IMP","UniProt","ENST00000229340 ENST00000534951","Search BioMartView on karyotype"
"GO:0031175","neuron projection development","ISS","UniProt","ENST00000229340 ENST00000534951","Search BioMartView on karyotype"
"GO:0032456","endocytic recycling","IBA","GO_Central","ENST00000229340 ENST00000534951","Search BioMartView on karyotype"
"GO:0032482","Rab protein signal transduction","IEA","InterPro","ENST00000229340 ENST00000534951","Search BioMartView on karyotype"
"GO:0036010","protein localization to endosome","IMP","UniProt","ENST00000534951 ENST00000229340","Search BioMartView on karyotype"
"GO:0048227","plasma membrane to endosome transport","IMP","UniProt","ENST00000534951 ENST00000229340","Search BioMartView on karyotype"
"GO:1990090","cellular response to nerve growth factor stimulus","ISS","UniProt","ENST00000229340 ENST00000534951","Search BioMartView on karyotype"
Go-Homo_sapiens_Gene_Ontologies_ENSG00000115806.csv
"Accession","Term","Evidence","Annotation source","Transcript IDs",""
"GO:0006996","organelle organization","IMP","UniProt","ENST00000234160","Search BioMartView on karyotype"
"GO:0007030","Golgi organization","IBA","GO_Central","ENST00000234160","Search BioMartView on karyotype"
"GO:0007283","spermatogenesis","IEA","UniProt","ENST00000234160","Search BioMartView on karyotype"
"GO:0030154","cell differentiation","IEA","UniProt","ENST00000234160","Search BioMartView on karyotype"
"GO:0034976","response to endoplasmic reticulum stress","IDA","UniProt","ENST00000234160","Search BioMartView on karyotype"
"GO:0061951","establishment of protein localization to plasma membrane","IDA, IMP","UniProt","ENST00000234160","Search BioMartView on karyotype"
"GO:0070925","organelle assembly","IMP","UniProt","ENST00000234160","Search BioMartView on karyotype"
Go-Homo_sapiens_Gene_Ontologies_ENSG00000137818.csv
"Accession","Term","Evidence","Annotation source","Transcript IDs",""
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","TAS","Reactome","ENST00000260379 ENST00000357790","Search BioMartView on karyotype"
"GO:0002181","cytoplasmic translation","IBA","GO_Central","ENST00000357790 ENST00000260379","Search BioMartView on karyotype"
"GO:0006412","translation","NAS","UniProt","ENST00000260379 ENST00000357790","Search BioMartView on karyotype"
"GO:0006413","translational initiation","TAS","Reactome","ENST00000260379 ENST00000357790","Search BioMartView on karyotype"
"GO:0006414","translational elongation","IEA","","ENST00000357790 ENST00000260379","Search BioMartView on karyotype"
"GO:0006417","regulation of translation","IEA","Ensembl","ENST00000260379","Search BioMartView on karyotype"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","TAS","Reactome","ENST00000260379 ENST00000357790","Search BioMartView on karyotype"
"GO:0019083","viral transcription","TAS","Reactome","ENST00000357790 ENST00000260379","Search BioMartView on karyotype"
"GO:0032147","activation of protein kinase activity","IEA","GOC","ENST00000260379 ENST00000357790","Search BioMartView on karyotype"
Go-Homo_sapiens_Gene_Ontologies_ENSG00000140832.csv
"Accession","Term","Evidence","Annotation source","Transcript IDs",""
"GO:0006970","response to osmotic stress","IMP","MGI","ENST00000299952 ENST00000565261 ENST00000268485","Search BioMartView on karyotype"
"GO:0010633","negative regulation of epithelial cell migration","IMP","MGI","ENST00000565261 ENST00000299952 ENST00000268485","Search BioMartView on karyotype"
"GO:0045216","cell-cell junction organization","IMP","MGI","ENST00000268485 ENST00000299952 ENST00000565261","Search BioMartView on karyotype"
"GO:0046329","negative regulation of JNK cascade","IMP","MGI","ENST00000299952 ENST00000565261 ENST00000268485","Search BioMartView on karyotype"
"GO:0050680","negative regulation of epithelial cell proliferation","IMP","MGI","ENST00000299952 ENST00000565261 ENST00000268485","Search BioMartView on karyotype"
"GO:0070830","bicellular tight junction assembly","IMP","UniProt","ENST00000565261 ENST00000299952 ENST00000268485","Search BioMartView on karyotype"
"GO:1902414","protein localization to cell junction","IMP","MGI","ENST00000268485 ENST00000565261 ENST00000299952","Search BioMartView on karyotype"
Go-Homo_sapiens_Gene_Ontologies_ENSG00000166165.csv
"Accession","Term","Evidence","Annotation source","Transcript IDs",""
"GO:0006600","creatine metabolic process","TAS","Reactome","ENST00000348956","Search BioMartView on karyotype"
"GO:0007420","brain development","IEA","Ensembl","ENST00000348956","Search BioMartView on karyotype"
"GO:0016310","phosphorylation","IEA","UniProt","ENST00000553610 ENST00000554989 ENST00000348956 ENST00000557530 ENST00000555039 ENST00000553878","Search BioMartView on karyotype"
"GO:0021549","cerebellum development","IEA","Ensembl","ENST00000348956","Search BioMartView on karyotype"
"GO:0021762","substantia nigra development","HEP","UniProt","ENST00000348956","Search BioMartView on karyotype"
"GO:0030644","cellular chloride ion homeostasis","IEA","Ensembl","ENST00000348956","Search BioMartView on karyotype"
"GO:0046314","phosphocreatine biosynthetic process","IBA","GO_Central","ENST00000348956","Search BioMartView on karyotype"
Go-Homo_sapiens_Gene_Ontologies_ENSG00000167460.csv
"Accession","Term","Evidence","Annotation source","Transcript IDs",""
"GO:0001649","osteoblast differentiation","HDA","UniProt","ENST00000646974 ENST00000344824 ENST00000643579 ENST00000300933","Search BioMartView on karyotype"
"GO:0006936","muscle contraction","TAS","Reactome","ENST00000300933 ENST00000646974 ENST00000344824 ENST00000643579","Search BioMartView on karyotype"
"GO:0007015","actin filament organization","IBA","GO_Central","ENST00000646974 ENST00000344824 ENST00000643579 ENST00000300933","Search BioMartView on karyotype"
"GO:0030049","muscle filament sliding","TAS","Reactome","ENST00000300933 ENST00000643579 ENST00000344824 ENST00000646974","Search BioMartView on karyotype"
Go-Homo_sapiens_Gene_Ontologies_ENSG00000177103.csv
"Accession","Term","Evidence","Annotation source","Mapped using","Transcript IDs",""
"GO:0001709","cell fate determination","NAS","UniProt","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
"GO:0007155","cell adhesion","IEA","","InterPro:DSCAML1","ENST00000651296 ENST00000651172 ENST00000527706 ENST00000321322","Search BioMartView on karyotype"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","IDA","UniProt","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
"GO:0007399","nervous system development","IEA","UniProt","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
"GO:0007409","axonogenesis","NAS","UniProt","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
"GO:0007411","axon guidance","IBA","GO_Central","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
"GO:0007417","central nervous system development","IEA","","InterPro:DSCAML1","ENST00000651172 ENST00000651296 ENST00000527706 ENST00000321322","Search BioMartView on karyotype"
"GO:0007420","brain development","IDA","UniProt","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
"GO:0009953","dorsal/ventral pattern formation","NAS","UniProt","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
"GO:0048704","embryonic skeletal system morphogenesis","IDA","UniProt","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
"GO:0070593","dendrite self-avoidance","IBA","GO_Central","UniProtKB/Swiss-Prot:Q8TD84","ENST00000527706","Search BioMartView on karyotype"
